"Year","Municipality","Offence group and specifier for criminal act","Offences known to the authorities (number)"
"1996","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",2676
"1996","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",33
"1997","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",10212
"1997","WHOLE COUNTRY","1117 Aggravated fraud 36:2",482
"1997","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",2890
"1997","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",86
"1998","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",10266
"1998","WHOLE COUNTRY","1117 Aggravated fraud 36:2",476
"1998","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",3193
"1998","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",55
"1999","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",9577
"1999","WHOLE COUNTRY","1117 Aggravated fraud 36:2",604
"1999","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",2903
"1999","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",91
"2000","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",10756
"2000","WHOLE COUNTRY","1117 Aggravated fraud 36:2",1238
"2000","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",2923
"2000","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",46
"2001","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",9925
"2001","WHOLE COUNTRY","1117 Aggravated fraud 36:2",672
"2001","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",3056
"2001","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",77
"2002","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",11331
"2002","WHOLE COUNTRY","1117 Aggravated fraud 36:2",933
"2002","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",3297
"2002","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",48
"2003","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",10357
"2003","WHOLE COUNTRY","1117 Aggravated fraud 36:2",733
"2003","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",3433
"2003","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",119
"2004","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",10699
"2004","WHOLE COUNTRY","1117 Aggravated fraud 36:2",762
"2004","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",3265
"2004","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",122
"2005","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",11460
"2005","WHOLE COUNTRY","1117 Aggravated fraud 36:2",923
"2005","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",3350
"2005","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",115
"2006","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",11694
"2006","WHOLE COUNTRY","1117 Aggravated fraud 36:2",822
"2006","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",3028
"2006","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",89
"2007","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",12933
"2007","WHOLE COUNTRY","1117 Aggravated fraud 36:2",703
"2007","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",3292
"2007","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",89
"2008","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",15101
"2008","WHOLE COUNTRY","1117 Aggravated fraud 36:2",953
"2008","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",3434
"2008","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",129
"2009","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",16435
"2009","WHOLE COUNTRY","1117 Aggravated fraud 36:2",987
"2009","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",4757
"2009","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",184
"2010","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",14903
"2010","WHOLE COUNTRY","1117 Aggravated fraud 36:2",957
"2010","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",4334
"2010","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",124
"2011","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",16645
"2011","WHOLE COUNTRY","1117 Aggravated fraud 36:2",1149
"2011","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",5506
"2011","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",149
"2012","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",19894
"2012","WHOLE COUNTRY","1117 Aggravated fraud 36:2",1052
"2012","WHOLE COUNTRY","1118 Means of payment fraud, petty means of payment fraud, preparation thereof 37:8,10,11",6104
"2012","WHOLE COUNTRY","1119 Aggravated means of payment fraud 37:9",127
"2013","WHOLE COUNTRY","1116 Fraud, petty fraud 36:1,3",21735
"2013","WHOLE COUNTRY","1117 Aggravated fraud 36:2",1100
